census_tract_code,year,arrests_B,arrests_W,arrests_total,state,county,ct_pop,ct_white,ct_black,pct_white,pct_black
10100,2010,965,693,1658,37,129,3153,822,2116,0.260704091,0.671106882
10100,2011,854,754,1614,37,129,2749,623,1970,0.226627865,0.716624227
10100,2012,839,772,1617,37,129,2877,561,2263,0.194994786,0.786583246
10100,2013,752,701,1454,37,129,2462,636,1795,0.258326564,0.729082047
10100,2014,629,539,1169,37,129,2212,566,1627,0.255877034,0.735533454
10100,2015,571,574,1153,37,129,2161,845,1278,0.391022675,0.591392874
10100,2016,696,615,1315,37,129,2245,882,1259,0.392873051,0.560801782
10100,2017,657,554,1215,37,129,2251,906,1225,0.402487783,0.544202577
10100,2018,437,477,920,37,129,2267,943,1182,0.41596824,0.521393913
10200,2010,177,147,325,37,129,3290,1386,1897,0.421276596,0.576595745
10200,2011,272,118,390,37,129,3440,1609,1815,0.467732558,0.527616279
10200,2012,221,88,309,37,129,3530,1598,1908,0.452691218,0.540509915
10200,2013,181,135,316,37,129,3587,1590,1968,0.443267354,0.548647895
10200,2014,212,125,337,37,129,3699,1678,1844,0.453636118,0.498513112
10200,2015,163,88,252,37,129,3703,1678,1866,0.453146098,0.503915744
10200,2016,212,148,361,37,129,3644,1991,1438,0.546377607,0.394621295
10200,2017,167,131,298,37,129,3603,1995,1331,0.553705246,0.369414377
10200,2018,203,120,324,37,129,3503,1958,1329,0.558949472,0.379389095
10300,2010,253,103,358,37,129,5104,2345,2622,0.459443574,0.513714734
10300,2011,375,156,535,37,129,5040,2199,2699,0.436309524,0.535515873
10300,2012,391,196,587,37,129,4821,2246,2427,0.465878448,0.503422526
10300,2013,470,140,612,37,129,5419,2204,3050,0.406717106,0.562834471
10300,2014,346,115,461,37,129,4882,2175,2620,0.445514134,0.536665301
10300,2015,325,150,477,37,129,5161,2398,2669,0.464638636,0.51714784
10300,2016,397,131,536,37,129,5703,2812,2786,0.493073821,0.488514817
10300,2017,321,129,454,37,129,5635,2589,2962,0.459449867,0.525643301
10300,2018,378,128,513,37,129,5902,2715,3137,0.460013555,0.531514741
10400,2010,93,140,233,37,129,2786,2372,225,0.851399856,0.080760948
10400,2011,76,104,184,37,129,2726,2342,235,0.859134263,0.086206897
10400,2012,58,78,137,37,129,2819,2565,190,0.909897127,0.067399787
10400,2013,49,96,148,37,129,3033,2802,176,0.923837784,0.058028355
10400,2014,43,77,123,37,129,3061,2789,208,0.91114015,0.06795165
10400,2015,56,141,197,37,129,2934,2647,222,0.902181322,0.075664622
10400,2016,45,98,144,37,129,2857,2593,198,0.90759538,0.069303465
